sector_a,sector_b,coupling,direction,note
electricity,water,0.85,bidirectional,"Power runs water pumps & treatment; thermoelectric plants withdraw 41% of US freshwater."
electricity,food,0.70,a_to_b,"Cold chain, processing, irrigation pumps, fertilizer (NG-derived) all depend on grid."
electricity,transport,0.65,a_to_b,"EV charging, fuel pipelines, rail signalling, refinery operations."
electricity,comms,0.90,a_to_b,"Cell sites and central offices have 4-72h backup; sustained outage takes comms down."
electricity,data_centers,0.95,bidirectional,"Data centers are 4%+ of US load (rising); reliability needs are extreme."
water,food,0.80,a_to_b,"Agriculture is ~70% of global freshwater withdrawals."
water,data_centers,0.55,a_to_b,"Direct evaporative cooling + indirect via grid generation."
water,transport,0.20,a_to_b,"Inland waterways and lock systems."
food,transport,0.60,bidirectional,"Trucking + rail + ports move 90%+ of US food."
food,comms,0.30,a_to_b,"Cold chain telematics, payments, logistics depend on comms."
comms,transport,0.45,bidirectional,"Air traffic, rail dispatch, fleet routing depend on comms."
data_centers,comms,0.80,bidirectional,"Carrier hotels and DCs are co-located; loss of either degrades the other."
data_centers,food,0.25,a_to_b,"Logistics platforms and supply chain visibility tools."
data_centers,transport,0.25,a_to_b,"Routing, dispatch, EV charging networks."
water,comms,0.20,a_to_b,"Submarine landings, water-cooled telco equipment - low coupling."
